k,n_patients,n_pos,AUPRC,AUROC
439,159,6,0.15248538011695906,0.7489106753812637
440,159,6,0.1319345358280612,0.716230936819172
441,159,6,0.12593165599135886,0.7254901960784313
442,159,6,0.10320422629807453,0.7091503267973855
443,158,6,0.15939296771340114,0.7642543859649124
444,157,6,0.12648395015651653,0.7295805739514349
445,157,6,0.09951751529534483,0.7108167770419426
446,157,6,0.12487356053532525,0.7157836644591612
447,156,6,0.10765343754065557,0.6977777777777778
448,153,6,0.08519029989618225,0.6791383219954649
449,152,6,0.08724021206668907,0.6952054794520549
450,151,6,0.14343156671697696,0.6885057471264368
451,151,6,0.0908486329963815,0.6580459770114943
452,151,6,0.09155620551139809,0.667816091954023
453,150,6,0.08983529387256095,0.6863425925925926
454,149,6,0.08439583376180465,0.6451048951048951
455,149,6,0.110495354379265,0.6695804195804196
456,148,6,0.09977819745060726,0.6830985915492958
457,146,6,0.10812236156152583,0.644047619047619
458,145,5,0.09997818465965536,0.6714285714285715
459,142,5,0.1284080509125881,0.6583941605839415
460,142,5,0.116214859437751,0.6751824817518248
461,141,5,0.10251930282654137,0.6544117647058824
462,141,5,0.14579701405259216,0.6169117647058824
463,141,5,0.17143040948758112,0.6529411764705882
464,141,5,0.1444387551914434,0.6955882352941177
465,141,5,0.0922757030262517,0.6470588235294117
466,141,5,0.12199775533108866,0.6558823529411765
467,141,5,0.11944225129709,0.675
468,141,5,0.08414045724390552,0.6639705882352941
469,140,5,0.13464441877732858,0.682962962962963
470,138,5,0.1336180958521384,0.6819548872180451
471,138,5,0.15524220811795242,0.6466165413533835
472,137,5,0.125224620206152,0.6643939393939393
473,137,5,0.25718796338906785,0.6568181818181819
474,135,5,0.10515519568151148,0.6630769230769231
475,133,5,0.11753786536633652,0.6234375
476,131,5,0.16908062484252961,0.6722222222222222
477,130,5,0.11691284825159065,0.6656
478,130,5,0.10769591709660203,0.6991999999999999
479,130,5,0.12697388632872503,0.6736
480,130,5,0.07439225374109094,0.6559999999999999
481,130,5,0.1275847323408299,0.7071999999999999
482,130,5,0.17614684860298896,0.7040000000000001
483,130,5,0.12597344176291544,0.7000000000000001
484,128,5,0.24675335500541803,0.7308943089430894
485,128,5,0.258948087431694,0.7544715447154471
486,126,5,0.13087033185393843,0.7338842975206612
487,126,5,0.17854447947826554,0.7305785123966941
488,125,5,0.10905844155844155,0.7183333333333334
489,124,5,0.1503516624040921,0.7184873949579832
490,123,5,0.12332398930759586,0.7135593220338983
491,123,5,0.11250369584170425,0.7211864406779661
492,123,5,0.1018827069373246,0.7288135593220338
493,123,5,0.13471153067012398,0.7423728813559323
494,123,5,0.08284905857195014,0.6813559322033899
495,122,5,0.10558594156924864,0.7367521367521368
496,121,5,0.09762626262626262,0.7327586206896551
497,120,5,0.0906691992218308,0.7217391304347825
498,119,5,0.11057429176733237,0.7596491228070175
499,119,5,0.14584415584415583,0.768421052631579
